,Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,International Reputation,Work Rate,Height,Weight
9586,22 D. Rezaeian,19,Poland,56,Pogoń Szczecin,€325K,€750,Right,1.0,Medium/ Medium,172cm,67.0
9587,M. McGuinness,21,Republic of Ireland,67,Cardiff City,€2.1M,€8K,Right,1.0,Medium/ High,194cm,70.0
9588,22 Erik Rafael,21,Spain,62,CD Mirandés,€900K,€1K,Right,1.0,Medium/ Medium,179cm,73.0
9589,22 Y. Oda,19,Japan,59,Vissel Kobe,€550K,€1K,Right,1.0,Medium/ Low,181cm,70.0
9590,21 R. Janicki,23,Poland,63,Warta Poznań,€700K,€1K,Right,1.0,Medium/ Low,170cm,62.0
9591,Roderick Miranda,31,Portugal,69,Melbourne Victory,€950K,€5K,Right,1.0,Low/ High,191cm,85.0
9592,22 L. Calzadilla,21,Mexico,56,Club Atlético de San Luis,€325K,€2K,Right,1.0,Medium/ Medium,168cm,61.0
9593,22 E. Mirchev,19,Bulgaria,57,Sportclub Verl,€375K,€500,Right,1.0,Medium/ Medium,185cm,80.0
9594,R. Labonne,24,France,61,Nîmes Olympique,€475K,€1K,Right,1.0,High/ Medium,180cm,76.0
9595,I. Diabate,22,Côte d'Ivoire,63,RCD Mallorca,€1.1M,€5K,Right,1.0,Medium/ Low,180cm,80.0
9596,21 D. Açka,22,Albania,58,CSM Politehnica Iași,€425K,€1K,Right,1.0,Medium/ Medium,179cm,69.0
9597,22 J. Ideho,17,Netherlands,62,Arsenal,€1M,€2K,Right,1.0,Medium/ Medium,175cm,70.0
9598,H. Mnoga,20,Tanzania,58,Portsmouth,€450K,€1K,Right,1.0,Medium/ High,185cm,78.0
9599,22 R. Ishida,19,Japan,57,Nagoya Grampus,€350K,€650,Right,1.0,Medium/ Medium,176cm,71.0
9600,P. Sejdiu,22,Sweden,62,Malmö FF,€900K,€2K,Left,1.0,Medium/ Medium,182cm,65.0
9601,21 R. Guachiré,25,Paraguay,61,Deportivo Binacional,€425K,€500,Right,1.0,Medium/ Medium,180cm,78.0
9602,S. Toloza,19,Argentina,61,Club Atlético Talleres,€775K,€2K,Right,1.0,Medium/ Medium,171cm,69.0
9603,I. Hien,23,Sweden,67,Djurgårdens IF,€2.1M,€2K,Right,1.0,Medium/ Medium,191cm,90.0
9604,A. Cagnano,24,Italy,63,Como,€700K,€700,Left,1.0,Medium/ Medium,180cm,83.0
9605,César Tárrega,20,Spain,63,Valencia CF,€1.1M,€4K,Right,1.0,Low/ High,193cm,78.0
9606,21 P. Caro,21,Colombia,57,Llaneros de Guanare Escuela de Fútbol,€375K,€500,Right,1.0,Medium/ Medium,178cm,76.0
9607,H. Guenouche,22,France,60,Austria Lustenau,€525K,€1K,Left,1.0,High/ Medium,170cm,62.0
9608,22 K. Fujimoto,22,Japan,61,Oita Trinita,€525K,€800,Right,1.0,High/ Medium,179cm,71.0
9609,J. Laporte,28,France,73,FC Lorient,€2.9M,€15K,Right,1.0,Medium/ Medium,185cm,82.0
9610,22 M. Morabet,23,Germany,58,1. FC Kaiserslautern,€325K,€900,Right,1.0,Medium/ Medium,177cm,70.0
9611,22 S. Soto,20,United States,64,Livingston FC,€1.3M,€7K,Right,1.0,Medium/ Medium,183cm,75.0
9612,22 J. Ruvalcaba,19,United States,61,Club Universidad Nacional,€775K,€2K,Right,1.0,High/ Medium,180cm,63.0
9613,21 A. Pastorelli,22,Argentina,60,Patronato,€400K,€2K,Left,1.0,Medium/ Medium,175cm,71.0
9614,J. Melhado,21,England,55,Salford City,€275K,€2K,Right,1.0,Medium/ Medium,178cm,70.0
9615,21 B. Negro,22,Argentina,62,Patronato,€775K,€2K,Left,1.0,Medium/ Medium,182cm,81.0
9616,22 D. Magaña,21,Mexico,60,Club Deportivo Guadalajara,€525K,€5K,Right,1.0,High/ Medium,172cm,70.0
9617,D. Coppola,18,Italy,66,Hellas Verona,€1.9M,€2K,Right,1.0,Medium/ Medium,192cm,78.0
9618,21 D. Fernández,17,Paraguay,59,Club Sportivo Luqueño,€550K,€500,Right,1.0,Medium/ Medium,171cm,66.0
9619,21 T. Rochat,20,Switzerland,54,FC Lausanne-Sport,€240K,€2K,Right,1.0,Medium/ Medium,181cm,69.0
9620,G. Olzer,21,Italy,58,Brescia,€500K,€650,Left,1.0,Medium/ Medium,188cm,78.0
9621,S. Castro,17,Argentina,60,Vélez Sarsfield,€675K,€550,Right,1.0,Medium/ Medium,178cm,76.0
9622,22 M. Shereef,28,India,56,NorthEast United FC,€140K,€500,Right,1.0,Low/ High,179cm,73.0
9623,B. Bjarkason,22,Iceland,61,Venezia FC,€725K,€900,Right,1.0,Medium/ Medium,180cm,68.0
9624,Loren Zúñiga,19,Spain,63,Málaga CF,€1.1M,€1K,Right,1.0,High/ Medium,180cm,74.0
9625,20 J. Hilario,19,Peru,68,Deportivo Binacional,€1.2M,€500,Right,1.0,Medium/ Low,162cm,62.0
9626,22 M. Andric,23,Austria,60,WSG Tirol,€350K,€2K,Left,1.0,High/ Medium,180cm,73.0
9627,22 E. Mejía,21,Ecuador,60,Sociedad Deportiva Aucas,€525K,€500,Left,1.0,High/ Medium,168cm,61.0
9628,S. Akinyoola,22,Benin,67,Caracas Fútbol Club,€2.3M,€500,Right,1.0,Medium/ Medium,173cm,60.0
9629,M. Fornalczyk,19,Poland,64,Pogoń Szczecin,€1.4M,€1K,Left,1.0,High/ Medium,177cm,70.0
9630,Naim García,20,Spain,63,CD Leganés,€1.2M,€2K,Right,1.0,High/ Medium,180cm,75.0
9631,A. Rogel,24,Uruguay,71,Estudiantes de La Plata,€3.5M,€7K,Right,1.0,Medium/ High,190cm,84.0
9632,21 Jia Meilin,30,China PR,57,Jiangsu FC,€160K,€4K,Right,1.0,Medium/ Medium,180cm,83.0
9633,J. March,25,England,60,Forest Green Rovers,€325K,€2K,Right,1.0,High/ Medium,175cm,71.0
9634,Guilherme Ramos,24,Portugal,71,DSC Arminia Bielefeld,€2.6M,€10K,Right,1.0,Medium/ Medium,191cm,82.0
9635,C. Okoli,20,Italy,71,Atalanta,€3.8M,€17K,Right,1.0,Low/ High,191cm,91.0
9636,20 J. Koorman,20,Netherlands,59,PEC Zwolle,€230K,€1K,Right,1.0,High/ Medium,180cm,70.0
9637,N. Pierozzi,20,Italy,60,Urbs Reggina 1914 ,€550K,€500,Right,1.0,High/ Medium,184cm,75.0
9638,21 M. Novick,36,Uruguay,65,Club Atlético Peñarol,€140K,€500,Right,1.0,Low/ High,171cm,65.0
9639,W. Soleto,26,Bolivia,64,Club Deportivo Oriente Petrolero,€675K,€500,Right,1.0,Medium/ High,179cm,87.0
9640,22 J. Alaca,34,Bolivia,66,Independiente Petrolero,€325K,€500,Left,1.0,High/ High,179cm,75.0
9641,N. Moriah-Welsh,20,Guyana,54,AFC Bournemouth,€250K,€5K,Right,1.0,Medium/ High,172cm,70.0
9642,22 A. Livermore,18,Wales,55,Newport County,€300K,€700,Right,1.0,Medium/ Medium,174cm,70.0
9643,R. Fay,19,Republic of Ireland,52,St. Patrick's Athletic,€170K,€500,Right,1.0,Medium/ Medium,168cm,71.0
9644,21 A. Blejdea,24,Romania,62,FC Dinamo 1948 Bucureşti,€600K,€1K,Right,1.0,High/ Medium,185cm,75.0
9645,21 Ž. Medved,21,Slovenia,62,Wisła Kraków,€650K,€950,Right,1.0,Medium/ Low,185cm,79.0
9646,22 C. Herrmann,21,Germany,62,KV Kortrijk,€900K,€2K,Right,1.0,Medium/ Low,190cm,83.0
9647,22 Q. Dumay,20,Netherlands,60,Go Ahead Eagles,€500K,€1K,Right,1.0,Medium/ Medium,181cm,71.0
9648,S. Soumano,21,Senegal,67,FC Lorient,€2.3M,€6K,Right,1.0,Medium/ Medium,182cm,75.0
9649,22 O. Noronha,29,Peru,66,Carlos A. Mannucci,€850K,€500,Left,1.0,Medium/ Medium,181cm,64.0
9650,I. Tolea,19,Romania,51,Petrolul Ploiești,€140K,€700,Right,1.0,Medium/ Medium,175cm,71.0
9651,21 A. Tsague,20,France,60,FC Nantes,€600K,€3K,Right,1.0,High/ Medium,177cm,77.0
9652,22 S. Mokono,22,Netherlands,61,FC Utrecht,€700K,€2K,Right,1.0,High/ Medium,188cm,73.0
9653,22 K. Patten,20,Wales,55,Cardiff City,€300K,€3K,Right,1.0,Medium/ Medium,186cm,79.0
9654,22 Vitao,21,Brazil,67,Shakhtar Donetsk,€2.1M,€500,Right,1.0,Medium/ Medium,185cm,75.0
9655,M. Schultz,30,Germany,59,VfB Oldenburg,€220K,€500,Right,1.0,Medium/ Medium,183cm,79.0
9656,C. Beltrán,31,Argentina,66,Cienciano,€575K,€500,Right,1.0,Low/ Medium,187cm,77.0
9657,22 M. Rente,24,Germany,67,Heracles Almelo,€1.5M,€2K,Right,1.0,Medium/ High,184cm,84.0
9658,S. Owusu,26,Ghana,62,Odds BK,€525K,€1K,Right,1.0,Medium/ High,176cm,75.0
9659,I. Krolo,19,Croatia,59,Hajduk Split,€550K,€500,Right,1.0,Medium/ Medium,189cm,76.0
9660,W. Nightingale,26,England,63,AFC Wimbledon,€550K,€3K,Right,1.0,Medium/ Medium,185cm,84.0
9661,D. Johnson,29,England,61,Walsall,€325K,€4K,Left,1.0,Medium/ Low,178cm,82.0
9662,José Marsà,20,Spain,65,Sporting CP,€1.6M,€2K,Left,1.0,Medium/ Medium,183cm,68.0
9663,21 Eduardo Mancha,24,Brazil,67,SC Farense,€1.4M,€2K,Left,1.0,High/ Medium,187cm,80.0
9664,D. Paraschiv,23,Romania,62,AFC Hermannstadt,€900K,€1K,Right,1.0,High/ Low,178cm,76.0
9665,K. Zohore,28,Denmark,68,West Bromwich Albion,€1.2M,€15K,Left,1.0,Medium/ Low,194cm,96.0
9666,22 V. Ayala,32,Paraguay,66,12 de Octubre FC,€600K,€500,Left,1.0,Medium/ Low,179cm,80.0
9667,22 C. Makreckis,21,Latvia,61,FC Viktoria 1889 Berlin,€525K,€600,Right,1.0,Medium/ Medium,181cm,71.0
9668,J. Vale,21,Wales,61,Blackburn Rovers,€800K,€6K,Right,1.0,Medium/ Low,183cm,70.0
9669,22 J. Gho,18,Argentina,60,Club Atlético Sarmiento,€575K,€700,Right,1.0,High/ Medium,178cm,76.0
9670,22 C. Núñez,21,Paraguay,60,Club Atlético Huracán,€550K,€2K,Right,1.0,Medium/ Medium,167cm,63.0
9671,T. Walbrecht,20,Germany,60,Hannover 96,€550K,€3K,Right,1.0,Medium/ Medium,186cm,80.0
9672,22 M. Chindriș,29,Romania,57,CS Mioveni,€140K,€1K,Right,1.0,Medium/ High,179cm,74.0
9673,J. Frommann,19,Germany,58,DSC Arminia Bielefeld,€500K,€1K,Right,1.0,Medium/ High,188cm,80.0
9674,A. Romero,24,Uruguay,61,Cerro Largo Fútbol Club,€475K,€500,Right,1.0,Medium/ Medium,180cm,78.0
9675,22 F. Pizzichillo,25,Uruguay,67,Santos Laguna,€1.2M,€7K,Right,1.0,High/ High,177cm,70.0
9676,M. Palomino,21,United States,62,Houston Dynamo,€975K,€1K,Right,1.0,High/ Low,178cm,67.0
9677,Carlos Domínguez,21,Spain,70,RC Celta de Vigo,€3.3M,€8K,Left,1.0,Medium/ Medium,187cm,71.0
9678,19 R. Durán,20,Mexico,61,Lobos BUAP,€450K,€2K,Right,1.0,High/ Medium,185cm,71.0
9679,M. Navarro,23,Venezuela,63,Chicago Fire Football Club,€1M,€1K,Left,1.0,Medium/ High,173cm,66.0
9680,22 I. Jagne,17,Sweden,54,Everton,€325K,€500,Right,1.0,High/ Medium,180cm,75.0
9681,21 M. Fuentes,24,Venezuela,62,Llaneros de Guanare Escuela de Fútbol,€550K,€500,Right,1.0,Medium/ Medium,183cm,77.0
9682,22 Alex Nascimento,22,Brazil,68,Futebol Clube de Famalicão,€2.5M,€3K,Left,1.0,Medium/ High,189cm,81.0
9683,21 M. Reátegui,25,Peru,60,Club Atlético Grau,€325K,€500,Right,1.0,Low/ High,188cm,85.0
9684,22 P. Hannola,19,Finland,56,HJK Helsinki,€375K,€500,Left,1.0,High/ Medium,184cm,79.0
9685,22 S. Sané,28,Germany,63,FC Würzburger Kickers,€500K,€2K,Right,1.0,Medium/ Medium,187cm,86.0
9686,N. Agrafiotis,22,Serbia,63,Excelsior,€1.1M,€2K,Right,1.0,High/ Medium,191cm,80.0
9687,J. Flores,18,Bolivia,57,Club The Strongest,€425K,€500,Right,1.0,Medium/ Medium,177cm,69.0
9688,21 D. Linárez,28,Venezuela,62,Estudiantes de Mérida,€350K,€500,Left,1.0,High/ Medium,172cm,57.0
9689,A. Vukanović,30,Serbia,60,Meizhou Hakka,€240K,€2K,Right,1.0,Medium/ Medium,189cm,81.0
9690,22 Cornago,18,Spain,60,AD Alcorcón,€325K,€500,Right,1.0,High/ Medium,166cm,60.0
9691,K. Tobers,21,Latvia,64,Lechia Gdańsk,€850K,€2K,Right,1.0,Low/ Medium,189cm,75.0
9692,22 D. Gallimore,18,England,54,Scunthorpe United,€250K,€850,Right,1.0,Medium/ Medium,185cm,80.0
9693,N. Bonfanti,20,Italy,64,Modena,€1.3M,€900,Right,1.0,Medium/ Medium,178cm,75.0
9694,F. Seiwald,21,Austria,63,SV Ried,€1M,€2K,Left,1.0,Medium/ Medium,188cm,72.0
9695,L. Everink,21,Netherlands,62,FC Twente,€850K,€2K,Right,1.0,Medium/ Medium,179cm,76.0
9696,21 E. Saba,19,Peru,61,FBC Melgar,€775K,€500,Right,1.0,Medium/ Medium,180cm,72.0
9697,J. Portales,24,Peru,65,Club Alianza Lima,€975K,€500,Right,1.0,Low/ Medium,194cm,88.0
9698,A. Demirol,19,Sweden,55,Hammarby IF,€300K,€650,Right,1.0,Medium/ Medium,184cm,77.0
9699,22 M. Benítez,19,Argentina,59,Newell's Old Boys,€475K,€1K,Right,1.0,Medium/ High,170cm,69.0
9700,22 Y. Van den Bossche,20,Belgium,60,KV Kortrijk,€600K,€2K,Right,1.0,Medium/ Low,175cm,70.0
9701,J. De Los Santos,19,Uruguay,62,Club Atlético River Plate,€1M,€500,Left,1.0,Medium/ Low,174cm,72.0
9702,22 J. Paredes,24,Ecuador,64,Mushuc Runa,€800K,€500,Right,1.0,Medium/ Medium,176cm,78.0
9703,M. Bastian,21,France,62,FC Annecy,€950K,€3K,Left,1.0,Low/ High,173cm,65.0
9704,22 I. Galván,18,Argentina,60,Racing Club,€500K,€750,Left,1.0,Medium/ Medium,177cm,65.0
9705,20 M. Lorenc,17,Poland,53,ŁKS Łódź,€110K,€500,Right,1.0,Medium/ Medium,189cm,78.0
9706,O. Ngom,18,France,55,Chamois Niortais Football Club,€300K,€500,Right,1.0,Medium/ Medium,184cm,75.0
9707,S. Fernandes,29,India,60,FC Goa,€220K,€500,Right,1.0,Low/ High,174cm,70.0
9708,A. Hegazi,31,Egypt,76,Al Ittihad,€5M,€33K,Right,2.0,Medium/ Medium,193cm,88.0
9709,A. Rajamohan,29,Sweden,57,Degerfors IF,€160K,€800,Right,1.0,High/ High,184cm,79.0
9710,22 J. Álvez,37,Uruguay,64,Centro Atlético Fénix,€130K,€500,Right,1.0,Low/ Medium,173cm,68.0
9711,16 E. Sinclair,27,England,58,York City,€140K,€2K,Right,1.0,Medium/ Low,182cm,72.0
9712,22 E. Rabanal,24,Peru,63,Carlos A. Mannucci,€650K,€500,Right,1.0,High/ Medium,177cm,78.0
9713,A. Beck,18,Denmark,55,Aarhus GF,€350K,€800,Right,1.0,Medium/ Medium,183cm,70.0
9714,Eduardo Quaresma,20,Portugal,70,TSG Hoffenheim,€3.6M,€5K,Right,1.0,Medium/ Medium,184cm,76.0
9715,V. Göransson,21,Sweden,53,Helsingborgs IF,€210K,€500,Right,1.0,Medium/ Medium,175cm,68.0
9716,22 M. Amissi,20,Burundi,62,Heracles Almelo,€800K,€1K,Right,1.0,High/ Medium,173cm,70.0
9717,21 J. Lugo,27,Ecuador,61,Club Social y Deportivo Macará,€350K,€3K,Left,1.0,Medium/ Medium,184cm,84.0
9718,21 M. Seyhan,24,Turkey,57,Gençlerbirliği SK,€300K,€2K,Right,1.0,Low/ Medium,177cm,81.0
9719,C. Çanak,17,Belgium,58,Standard de Liège,€500K,€500,Left,1.0,High/ High,175cm,65.0
9720,L. Cross,19,England,53,Northampton Town,€220K,€2K,Left,1.0,Medium/ Medium,173cm,70.0
9721,M. Robberechts,18,Belgium,56,KV Mechelen,€350K,€850,Left,1.0,Medium/ Medium,177cm,70.0
9722,J. Marabel,24,Paraguay,65,Unión de Santa Fe,€1.4M,€4K,Right,1.0,Medium/ Medium,182cm,85.0
9723,J. Cruz,19,Chile,65,Colo-Colo,€1.7M,€1K,Left,1.0,Medium/ Medium,168cm,69.0
9724,22 C. Norton,20,Wales,59,Stoke City,€550K,€4K,Right,1.0,Medium/ Medium,175cm,70.0
9725,22 C. Hulme,20,England,53,Leicester City,€220K,€8K,Right,1.0,Medium/ Medium,170cm,65.0
9726,22 E. Uzun,19,Turkey,56,Adana Demirspor,€325K,€1K,Right,1.0,Low/ Medium,176cm,68.0
9727,C. Goode,26,England,67,Brentford,€1.1M,€14K,Right,1.0,Medium/ Medium,196cm,75.0
9728,J. Atencio,20,United States,62,Seattle Sounders FC,€825K,€1K,Right,1.0,Medium/ High,185cm,79.0
9729,21 Emilio Estevez,21,Chinese Taipei,61,ADO Den Haag,€725K,€1K,Right,1.0,Medium/ Medium,170cm,65.0
9730,22 Guillem Molina,20,Spain,67,Valencia CF,€2.1M,€7K,Right,1.0,Low/ High,183cm,71.0
9731,D. Ontužāns,22,Latvia,60,SC Freiburg II,€400K,€850,Right,1.0,Medium/ Medium,182cm,74.0
9732,K. Slor,20,Netherlands,62,FC Groningen,€875K,€1K,Right,1.0,High/ Medium,181cm,77.0
9733,22 O. Schmitt,21,Germany,61,Sportclub Verl,€725K,€4K,Right,1.0,Medium/ Medium,180cm,73.0
9734,21 Dong Yi,27,China PR,61,Jiangsu FC,€325K,€3K,Right,1.0,Medium/ Medium,177cm,68.0
9735,G. Giménez,35,Paraguay,64,Club Sol de América,€180K,€500,Right,1.0,Medium/ Medium,176cm,74.0
9736,21 J. Vargas,21,Venezuela,61,Llaneros de Guanare Escuela de Fútbol,€725K,€500,Right,1.0,Medium/ Medium,161cm,59.0
9737,M. Viltard,19,France,55,FC Sochaux-Montbéliard,€300K,€700,Right,1.0,Medium/ Medium,176cm,68.0
9738,Gonçalo Costa,22,Portugal,63,Portimonense SC,€1M,€2K,Left,1.0,High/ High,178cm,68.0
9739,T. Flanagan,30,Northern Ireland,66,Shrewsbury Town,€700K,€3K,Right,1.0,Medium/ Medium,188cm,76.0
9740,21 M. Karlsbakk,20,Norway,57,Aalesunds FK,€400K,€600,Right,1.0,Medium/ Medium,180cm,70.0
9741,21 J. Abdala,20,Chile,59,Coquimbo Unido,€500K,€500,Right,1.0,High/ Medium,170cm,70.0
9742,E. Alfonso,22,Paraguay,65,General Caballero (JLM),€1.6M,€500,Right,1.0,Medium/ Medium,173cm,73.0
9743,J. MacKenzie,21,Scotland,63,Aberdeen,€1M,€1K,Left,1.0,Medium/ High,191cm,65.0
9744,22 M. Ferreira,22,Uruguay,61,Club Atlético Rentistas,€675K,€500,Right,1.0,Medium/ Low,174cm,66.0
9745,22 E. Özkayımoğlu,19,Turkey,60,Göztepe SK,€600K,€2K,Right,1.0,High/ Medium,185cm,70.0
9746,21 I. Yüksek,21,Turkey,57,Fenerbahçe SK,€350K,€6K,Right,1.0,Medium/ High,183cm,77.0
9747,22 K. Fidelis,22,Nigeria,60,FC Vizela,€500K,€1K,Left,1.0,Medium/ Low,177cm,75.0
9748,Serginho,21,Portugal,63,Estoril Praia,€1.1M,€2K,Right,1.0,High/ Low,181cm,70.0
9749,R. Ivanov,27,Finland,67,Warta Poznań,€1.2M,€2K,Right,1.0,High/ Medium,197cm,85.0
9750,D. Duarte,20,Paraguay,63,Club Olimpia,€1.2M,€500,Left,1.0,High/ Low,176cm,78.0
9751,A. Al Samtai,25,Saudi Arabia,57,Al Khaleej,€180K,€2K,Right,1.0,Medium/ High,172cm,70.0
9752,21 Jiang Pengfei,30,China PR,63,Jiangsu FC,€400K,€4K,Left,1.0,Low/ Medium,190cm,87.0
9753,13 R. Amessan,21,Côte d'Ivoire,61,Associação Académica de Coimbra,€375K,€3K,Left,1.0,Medium/ Medium,177cm,68.0
9754,C. Üstündag,21,Austria,56,WSG Tirol,€325K,€1K,Right,1.0,Medium/ Medium,170cm,61.0
9755,L. Montsma,24,Netherlands,65,Lincoln City,€975K,€2K,Right,1.0,Medium/ Medium,191cm,84.0
9756,22 C. Goddard,24,Japan,59,Central Coast Mariners,€300K,€500,Left,1.0,Medium/ Medium,178cm,65.0
9757,22 F. Peraza,28,Uruguay,62,Club Atlético Rentistas,€400K,€500,Right,1.0,Medium/ High,184cm,78.0
9758,I. Khan,27,India,55,NorthEast United FC,€130K,€500,Right,1.0,High/ Medium,170cm,62.0
9759,Guilherme Garutti,28,Brazil,64,CS Mioveni,€550K,€2K,Right,1.0,Medium/ Medium,192cm,86.0
9760,J. Affamah,20,France,61,FC Nantes,€800K,€4K,Right,1.0,Medium/ High,175cm,70.0
9761,I. Touré,19,France,67,Olympique de Marseille,€2.5M,€6K,Left,1.0,Medium/ Medium,204cm,75.0
9762,A. Dama,18,Turkey,54,MKE Ankaragücü,€275K,€750,Left,1.0,High/ Medium,173cm,69.0
9763,J. Mendes,19,Sweden,61,AIK,€825K,€750,Right,1.0,High/ Medium,177cm,75.0
9764,S. Müller,21,Germany,63,Hallescher FC,€1.1M,€3K,Right,1.0,Medium/ Medium,180cm,78.0
9765,L. Schäfer,19,Germany,54,VfB Oldenburg,€275K,€500,Left,1.0,Medium/ Medium,188cm,79.0
9766,U. Eneme-Ella,21,Gabon,59,Angers SCO,€500K,€3K,Right,1.0,High/ Medium,184cm,75.0
9767,16 R. Thompson,21,England,58,York City,€190K,€2K,Right,1.0,High/ Medium,174cm,76.0
9768,D. Jefferies,20,Wales,59,Gillingham,€525K,€1K,Right,1.0,Medium/ High,179cm,78.0
9769,20 E. Yao,23,Côte d'Ivoire,65,FC Lugano,€675K,€2K,Right,1.0,Medium/ Medium,182cm,76.0
9770,H. Diarra,18,France,58,RC Strasbourg Alsace,€500K,€1K,Right,1.0,Medium/ Medium,179cm,74.0
9771,22 N. Wassberg,17,Norway,54,SK Brann,€325K,€500,Left,1.0,Medium/ Medium,178cm,60.0
9772,K. Testud,30,France,64,FC Annecy,€575K,€1K,Right,1.0,Medium/ Medium,180cm,66.0
9773,J. Worrall,25,England,74,Nottingham Forest,€6M,€42K,Right,1.0,Medium/ High,190cm,90.0
9774,22 K. Haneda,23,Japan,62,Oita Trinita,€600K,€900,Right,1.0,Medium/ Medium,185cm,80.0
9775,E. Poku,18,Netherlands,63,AZ Alkmaar,€1.3M,€1K,Right,1.0,High/ Medium,173cm,63.0
9776,22 N. Arai,24,Japan,62,Cerezo Osaka,€525K,€1K,Right,1.0,Low/ Medium,173cm,73.0
9777,Barbero,23,Spain,67,CA Osasuna,€2.3M,€9K,Right,1.0,Medium/ Medium,186cm,78.0
9778,21 Felipe Micael,18,Brazil,60,K Beerschot VA,€575K,€900,Left,1.0,Medium/ Medium,178cm,67.0
9779,21 A. Polar,23,Peru,65,Deportivo Binacional,€1.1M,€500,Right,1.0,High/ Low,165cm,58.0
9780,22 F. Paschke,17,Germany,56,Hamburger SV,€325K,€500,Right,1.0,Medium/ Medium,180cm,72.0
9781,S. Khan,26,Gambia,55,Swindon Town,€160K,€2K,Right,1.0,Medium/ Medium,188cm,76.0
9782,K. Sildillia,20,France,65,Sport-Club Freiburg,€1.5M,€5K,Right,1.0,Medium/ Medium,186cm,76.0
9783,D. Hadžikadunić,23,Bosnia and Herzegovina,69,Malmö FF,€2.9M,€3K,Right,1.0,Medium/ Medium,190cm,81.0
9784,K. Fernández,23,Paraguay,62,General Caballero (JLM),€800K,€500,Left,1.0,Medium/ Medium,177cm,81.0
9785,21 Javi Llario,22,Spain,60,AD Alcorcón,€550K,€2K,Right,1.0,Medium/ Medium,178cm,73.0
9786,20 N. Varotto,17,Italy,58,Cittadella,€230K,€500,Left,1.0,Medium/ Medium,182cm,75.0
9787,M. Broholm,17,Norway,53,Rosenborg BK,€230K,€500,Left,1.0,Medium/ Medium,176cm,69.0
9788,Rahul KP,22,India,56,Kerala Blasters FC,€325K,€500,Right,1.0,Medium/ Medium,167cm,64.0
9789,21 R. Ruiz Díaz,21,Paraguay,62,Club Sol de América,€650K,€500,Right,1.0,High/ Medium,184cm,79.0
9790,22 Han Ho Gang,27,Korea Republic,63,Yokohama FC,€450K,€1K,Right,1.0,Low/ High,184cm,80.0
9791,21 M. Al Sagour,26,Saudi Arabia,57,Al Wehda,€180K,€4K,Right,1.0,Medium/ Medium,176cm,64.0
9792,L. Kehl,20,Germany,60,SC Freiburg II,€550K,€750,Right,1.0,Medium/ Medium,171cm,70.0
9793,20 A. Tribuzzi,20,Italy,60,Frosinone,€325K,€600,Right,1.0,Medium/ Medium,183cm,76.0
9794,D. Salihovic,19,Sweden,56,IFK Norrköping,€350K,€700,Right,1.0,Medium/ Medium,178cm,71.0
9795,22 Maga,22,Portugal,61,Vitória de Guimarães,€700K,€1K,Right,1.0,Medium/ Medium,174cm,58.0
9796,S. Wangjam,21,India,55,Bengaluru FC,€275K,€500,Right,1.0,Medium/ Medium,166cm,65.0
9797,21 L. Tablada,18,Argentina,60,Unión de Santa Fe,€575K,€1K,Right,1.0,Medium/ Medium,175cm,74.0
9798,Andrés Caro,18,Spain,65,Málaga CF,€1.6M,€700,Right,1.0,Low/ High,185cm,71.0
9799,D. Angleberger,19,Germany,55,SpVgg Greuther Fürth,€300K,€1K,Right,1.0,Medium/ Medium,179cm,74.0
9800,E. Becirovic,22,Sweden,59,IFK Värnamo,€500K,€600,Right,1.0,High/ Medium,181cm,76.0
9801,21 K. Sieracki,19,Poland,55,Podbeskidzie Bielsko-Biała,€275K,€500,Right,1.0,Medium/ Medium,178cm,73.0
9802,L. Sandgrav,17,Denmark,55,Lyngby BK,€400K,€500,Right,1.0,Medium/ Medium,184cm,70.0
9803,22 M. Hidaka,18,Japan,53,Vissel Kobe,€240K,€550,Right,1.0,Medium/ Medium,176cm,72.0
9804,J. Herrera,20,Bolivia,60,Club Deportivo Jorge Wilstermann,€500K,€500,Right,1.0,Medium/ Medium,181cm,81.0
9805,R. van Ekeris,19,Netherlands,59,FC Emmen,€525K,€950,Right,1.0,Medium/ Medium,180cm,75.0
9806,B. Armoa,22,Paraguay,65,Club Atlético Tigre,€1.6M,€3K,Right,1.0,Medium/ Medium,171cm,69.0
9807,15 C. Özkara,22,Turkey,64,Demir Grup Sivasspor,€500K,€5K,Right,1.0,Medium/ Low,189cm,80.0
9808,22 B. Abdallah,22,France,60,ESTAC Troyes,€375K,€2K,Right,1.0,Medium/ Medium,176cm,62.0
9809,22 K. Suárez,19,Colombia,60,Godoy Cruz,€550K,€850,Left,1.0,Medium/ Medium,176cm,72.0
9810,C. Burgess,30,England,73,Royale Union Saint-Gilloise,€2.5M,€13K,Right,1.0,Low/ Medium,196cm,84.0
9811,R. Williams,21,England,65,Blackpool,€1.7M,€13K,Right,1.0,Low/ Medium,195cm,76.0
9812,22 T. Wright,19,Republic of Ireland,61,Colchester United,€700K,€2K,Left,1.0,Medium/ Medium,179cm,72.0
9813,J. Dubasin,22,Belgium,60,Albacete BP,€550K,€1K,Right,1.0,Medium/ Medium,180cm,75.0
9814,F. Stojilković,22,Switzerland,60,FC Sion,€550K,€4K,Right,1.0,High/ Medium,186cm,80.0
